stim_name,mem_score,Correct,Incorrect,Timeout,word_recall_performance,stim_name_clean,mem_level,avg_memory_rt,avg_word_rt
stone_circle_forg,0.432,18,11,2,0.6206896551724138,stone circle,forg,2038.36,3062.36
stone_circle_mem,0.906,25,6,0,0.8064516129032258,stone circle,mem,1822.4615384615386,3165.269230769231
stream_forg,0.519,24,7,0,0.7741935483870968,stream,forg,1894.142857142857,1986.107142857143
stream_mem,0.87,24,6,1,0.8,stream,mem,1875.6666666666667,2051.0666666666666
sunset_forg,0.521,25,6,0,0.8064516129032258,sunset,forg,1912.2222222222222,1663.2962962962963
sunset_mem,0.816,28,3,0,0.9032258064516129,sunset,mem,1823.7692307692307,1475.9615384615386
theater_forg,0.463,15,15,1,0.5,theater,forg,2185.0689655172414,2670.5862068965516
theater_mem,0.845,26,5,0,0.8387096774193549,theater,mem,1851.967741935484,2198.1290322580644
tracks_forg,0.372,23,7,1,0.7666666666666667,tracks,forg,2234.8571428571427,2435.75
tracks_mem,0.887,19,12,0,0.6129032258064516,tracks,mem,1899.5555555555557,2354.1481481481483
train_bridge_forg,0.429,19,11,1,0.6333333333333333,train bridge,forg,2066.5333333333333,3433.9333333333334
train_bridge_mem,0.859,26,5,0,0.8387096774193549,train bridge,mem,2072.6153846153848,2674.653846153846
